code,rank,feature,weight
deu,25,zunachst,0.005636292477839853
deu,26,gehorte,0.005632573926475972
deu,27,ist ein,0.00561653410882092
deu,28,erstmals,0.00561560343857946
deu,29,wurde der,0.005611778365738077
deu,30,wechselte,0.005600182140730723
slv,1,tudi,0.007183939620385905
slv,2,je bil,0.006882482509300247
slv,3,ki je,0.006691742270299834
slv,4,je bila,0.006544537371730152
slv,5,lahko,0.006378899302695177
slv,6,leta je,0.006342790045653306
slv,7,zaradi,0.006339540473650915
slv,8,ki so,0.006283130185091941
slv,9,kjer,0.00625798219419943
slv,10,bilo,0.006195170292659393
slv,11,jih,0.006138685871508043
slv,12,da je,0.00609790349263835
slv,13,je bilo,0.006070477042649582
slv,14,pred,0.006015148807415225
slv,15,ko je,0.005883222608485804
slv,16,ga je,0.0058738122874780595
slv,17,kjer je,0.005784460640066459
slv,18,je tudi,0.005776734832149195
slv,19,nekaj,0.005767875076173472
slv,20,najbolj,0.005721820572245695
slv,21,je leta,0.005704244269987321
slv,22,naj,0.005693250479264583
slv,23,kasneje,0.005685038387921628
slv,24,letih,0.005668320817028093
slv,25,so bili,0.005655516580858409
slv,26,obcini,0.005653051025397196
slv,27,predvsem,0.0056393337665815455
slv,28,okoli,0.005603159822602904
slv,29,poleg,0.005601168413131699
slv,30,sloveniji,0.005593817953135677
eng,1,due to,0.005795174876438183
eng,2,received,0.005734585458933506
eng,3,included,0.005734585458933506
eng,4,opened,0.005576876941347252
eng,5,returned,0.0055626376882794626
eng,6,where he,0.005560422541577075
eng,7,joined,0.005533311004335764
eng,8,established,0.005519373928494609
eng,9,various,0.005441565857314085
eng,10,elected,0.005413701721074355
eng,11,played,0.005412320449406359
eng,12,served as,0.005409634193823775
eng,13,became,0.005388960805104558
eng,14,scored,0.005387555360496925
eng,15,along with,0.005376264231228248
eng,16,during the,0.005361174602895499
eng,17,on december,0.0053575410615691365
eng,18,he also,0.0053575410615691365
eng,19,returned to,0.0053575410615691365
eng,20,to his,0.0053546181148986915
eng,21,formed,0.005347259901300347
eng,22,on august,0.005342809641555869
eng,23,on november,0.005338332491861284
eng,24,he had,0.005336834076749845
eng,25,on june,0.005320148364059037
eng,26,the area,0.0053186126826386786
eng,27,and was,0.005317511869836442
eng,28,appointed,0.0053108861682051095
eng,29,finished,0.005298353674602255
eng,30,on october,0.005293598796124292
